Config ID,Loss,Accuracy,Model Params,tflite Size,Loss_1,Loss_2,Loss_3,Loss_4,Loss_5,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5
_12-32-96,0.3076472818851471,0.8645892262458801,55681,226.048,0.3076472818851471,0.3756183981895447,0.3541772961616516,0.2983313202857971,0.2590911090373993,0.8645892262458801,0.8371104598045349,0.821529746055603,0.8739376664161682,0.8980169892311096
_12-32-128,0.20275246500968933,0.9206798791885376,72161,291.968,0.20275246500968933,0.23733632266521454,0.28503480553627014,0.1799548715353012,0.15931881964206696,0.9206798791885376,0.9178470373153687,0.8611897826194763,0.9405099153518677,0.9461756348609924
_12-32-160,0.2472320169210434,0.8943342804908753,88641,357.888,0.2472320169210434,0.30724143981933594,0.26821133494377136,0.24197018146514893,0.2598954737186432,0.8943342804908753,0.879603385925293,0.8838527202606201,0.8980169892311096,0.8753541111946106
_12-64-32,0.44116902351379395,0.7560906529426574,45281,184.448,0.44116902351379395,0.4648374021053314,0.47461530566215515,0.4495076835155487,0.4123062193393707,0.7560906529426574,0.7393767833709717,0.6997166872024536,0.7167139053344727,0.8031161427497864
_12-64-64,0.25961484014987946,0.8946175575256348,78145,315.904,0.25961484014987946,0.34675684571266174,0.27935078740119934,0.26121270656585693,0.2268982082605362,0.8946175575256348,0.8526912331581116,0.8852691054344177,0.9008498787879944,0.8966005444526672
_12-64-80,0.2745070457458496,0.8810198307037354,94577,381.632,0.2745070457458496,0.31569904088974,0.34359467029571533,0.30627700686454773,0.23917198181152344,0.8810198307037354,0.856940507888794,0.8555240631103516,0.8895184397697449,0.8725212216377258
_12-64-96,0.31068732738494875,0.8660056591033936,111009,447.36,0.31068732738494875,0.3060947060585022,0.3399432599544525,0.3213917911052704,0.28956884145736694,0.8660056591033936,0.8696883916854858,0.8512747883796692,0.8611897826194763,0.8781869411468506
_12-64-128,0.2678107053041458,0.8824362635612488,143873,578.816,0.2678107053041458,0.37740659713745117,0.2940656244754791,0.29677101969718933,0.20495383441448212,0.8824362635612488,0.8116147518157959,0.8739376664161682,0.8654391169548035,0.922096312046051
_12-64-160,0.20805878639221193,0.9124645948410034,176737,710.272,0.20805878639221193,0.24904370307922363,0.2692925035953522,0.22495707869529724,0.14423958957195282,0.9124645948410034,0.8810198307037354,0.8711048364639282,0.9263455867767334,0.9475920796394348
_12-80-64,0.2585953950881958,0.8864022612571716,97617,393.792,0.2585953950881958,0.31074684858322144,0.30729931592941284,0.2889882028102875,0.2000003606081009,0.8864022612571716,0.8456090688705444,0.8696883916854858,0.856940507888794,0.922096312046051
_12-80-80,0.13474375307559966,0.954107666015625,118145,475.904,0.13474375307559966,0.24958480894565582,0.10484975576400757,0.14803099632263184,0.08225955814123154,0.954107666015625,0.9164305925369263,0.9589235186576843,0.9433428049087524,0.9787535667419434
_12-80-96,0.3721735954284668,0.8254957437515259,138673,558.016,0.3721735954284668,0.4419516324996948,0.37069374322891235,0.3835863471031189,0.3370516300201416,0.8254957437515259,0.8130311369895935,0.8031161427497864,0.8045325875282288,0.8498583436012268
_12-80-128,0.20976461470127106,0.9135977387428283,179729,722.24,0.20976461470127106,0.3223539888858795,0.246905118227005,0.22048015892505646,0.11292412877082825,0.9135977387428283,0.8427761793136597,0.9008498787879944,0.9135977625846863,0.9660056829452515
_12-80-160,0.19822539389133453,0.922662889957428,220785,886.464,0.19822539389133453,0.38106194138526917,0.20161285996437073,0.15531310439109802,0.14897742867469788,0.922662889957428,0.8314447402954102,0.9277620315551758,0.9461756348609924,0.9348441958427429
_12-96-64,0.09235143214464188,0.9708215475082398,117089,471.68,0.09235143214464188,0.18119247257709503,0.11102490872144699,0.07405781745910645,0.05149392783641815,0.9708215475082398,0.9475920796394348,0.9589235186576843,0.9730878472328186,0.9844192862510681
